Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
51,916,Czy w trakcie prowadzenia pojazdu  wraz z upływem czasu  poprawia się Twoja zdolność dostrzegania znaków i sygnałów drogowych?,,,,Nie,IMG_9599org.jpg,B,pjm916.webm,,,,When driving a vehicle  does your ability to perceive road signs and signals improve with time?,,,,Verbessert sich beim Fahrzeuglenken mit dem Ablauf der Zeit Ihre Fähigkeit  Verkehrszeichen- und Signale wahrzunehmen?,,,,Чи під час поїздки Ваша здатність реагувати на дорожні знаки та сигнали покращується з часом?,,,,"<img src=""IMG_9599org.jpg"">"
52,918,Kierujesz pojazdem z prędkością 30 km/h. Czy w tej sytuacji powinieneś zatrzymać pojazd przed sygnalizatorem?,,,,Tak,AK_D18_07org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm918.webm,,,,You are driving a vehicle at the speed of 30 km/h. Should you stop the vehicle before the traffic lights in this situation?,,,,Sie fahren das Fahrzeug mit der Geschwindigkeit von 30 km/h. Sollen Sie das Fahrzeug in dieser Situation vor der Verkehrampel anhalten?,,,,Ви керуєте транспортним засобом зі швидкістю 30 км/год. Чи потрібно в цій ситуації зупинятися перед сигналом світлофора?,,,,"<video src=""AK_D18_07org.webm"" controls>"
53,919,Czy gdy prowadzisz w stanie pobudzenia emocjonalnego  to maleje Twoja zdolność koncentracji uwagi?,,,,Tak,GND30__4_org.webm,B,pjm919.webm,,,,When driving in a state of emotional arousal  does your ability to concentrate decrease?,,,,Wenn Sie das Fahrzeug im gereizten Zustand lenken  verringert sich Ihre Konzentrationsfähigkeit?,,,,Чи знижується Ваша здатність концентрувати увагу  коли Ви перебуваєте за кермом у стані емоційного збудження?,,,,"<video src=""GND30__4_org.webm"" controls>"
54,941,Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?,,,,Nie,513_D27KW_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm941.webm,,,,You intend to turn left. Do you have to yield the right of way to the vehicle approaching from the right?,,,,Sie möchten links abbiegen. Sollen Sie dem von rechts kommenden Fahrzeug die Vorfahrt geben?,,,,Ви збираєтеся повернути вліво. Чи зобов'язані Ви дати дорогу транспортному засобу  що наближається справа?,,,,"<video src=""513_D27KW_org.webm"" controls>"
55,942,Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?,,,,Tak,514_D27KW_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm942.webm,,,,You intend to go straight on. Do you have to yield the right of way to the vehicle approaching from the right?,,,,Sie haben  vor  geradeaus zu fahren. Haben Sie die Pflicht  dem von rechts kommenden Fahrzeug den Vorrang zu geben?,,,,Ви маєте намір їхати прямо. Чи зобов'язані Ви дати дорогу транспортному засобу  що наближається справа?,,,,"<video src=""514_D27KW_org.webm"" controls>"
56,947,Zamierzasz jechać na wprost. Czy masz pierwszeństwo przed motocyklistą?,,,,Nie,KW_D22_419_org.webm,A B C D T AM A1 A2 B1 C1 D1,pjm947.webm,,,,You intend to go straight on. Do you have the right of way over the motorcyclist?,,,,Sie haben vor  geradeaus zu fahren. Haben Sie die Vorfahrt vor dem Kraftradfahrer?,,,,Ви збираєтеся їхати прямо. Чи маєте Ви перевагу у русі перед мотоциклістом?,,,,"<video src=""KW_D22_419_org.webm"" controls>"
57,974,Czy umieszczony na tablicy znak ostrzega Cię o miejscu na drodze  w którym występuje lub może występować niebezpieczeństwo?,,,,Tak,3436D15org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm974.webm,,,,Does the sign on this board inform you of a place on the road where there is  or there might be a danger?,,,,Warnt dich das auf diesem Schild lokalisierte Zeichen vor einer Stelle auf der Straße  die gefährlich ist oder die gefährlich sein kann?,,,,Чи попереджає встановлений знак  який Ви бачите  про місце на дорозі  де є або може бути небезпека?,,,,"<img src=""3436D15org.jpg"">"
58,975,Czy w przedstawionej sytuacji masz obowiązek zachować szczególną ostrożność?,,,,Tak,D20_0061org.jpg,A B C D A1 A2 B1 C1 D1,pjm975.webm,,,,Do you have to exercise particular caution in the presented situation?,,,,Bist du in der dargestellten Situation dazu verpflichtet  besonders vorsichtig zu sein?,,,,Чи зобов'язані Ви бути особливо обережними в наведеній ситуації?,,,,"<img src=""D20_0061org.jpg"">"
59,978,Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania z jednokierunkową drogą podporządkowaną?,,,,Tak,A-6eorg.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm978.webm,,,,In the presented situation  are you warned of an intersection with a one-way minor road?,,,,Wirst du in der dargestellten Situation vor einer Kreuzung mit einer untergeordneten Einbahnstraße gewarnt?,,,,Чи попереджає Вас знак  який Ви бачите  про те  що Ви наближаєтеся до перехрестя з другорядною дорогою з одностороннім рухом?,,,,"<img src=""A-6eorg.jpg"">"
60,980,Czy tabliczka umieszczona pod znakiem wskazuje rzeczywisty przebieg drogi z pierwszeństwem przejazdu?,,,,Tak,IMG_4003org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,In the presented situation  you are warned of an intersection with a major road. Does the plate under the sign indicate its actual route?,,,,In der dargestellten Situation wirst du vor einer Kreuzung mit einer Vorfahrtsstraße gewarnt. Zeigt das unter dem Zeichen angebrachte Schild ihren tatsächlichen Verlauf?,,,,Чи вказує табличка під знаком на фактичний напрямок руху з пріоритетом?,,,,"<img src=""IMG_4003org.jpg"">"
61,985,Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do przejazdu kolejowego wyposażonego w zapory  lub w półzapory?,,,,Tak,0876D18org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you warned in this situation of a level crossing with full barriers or half-barriers?,,,,Wirst du in der abgebildeten Situation vor einem Bahnübergang gewarnt  der weder mit Schranken noch mit Halbschranken ausgestattet ist?,,,,Чи у наведеній ситуації попереджають Вас про наближення до переїзду  обладнаного шлагбаумами або напівшлагбаумами?,,,,"<img src=""0876D18org.jpg"">"
62,986,Czy w przedstawionej sytuacji jesteś ostrzegany o przejeździe kolejowym wyposażonym w zapory lub półzapory?,,,,Nie,A-10 (2)org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm986.webm,,,,Are you warned in this situation of a level crossing with full barriers or half-barriers?,,,,Wirst du in der abgebildeten Situation vor einem Bahnübergang gewarnt  der mit Schranken oder Halbschranken ausgestattet ist?,,,,Чи в зображеній ситуації Вас попереджають про залізничний переїзд  обладнаний шлагбаумами або напівшлагбаумами?,,,,"<img src=""A-10 (2)org.jpg"">"
63,987,Czy w przedstawionej sytuacji jesteś ostrzegany o przejeździe kolejowym wyposażonym w półzapory?,,,,Nie,1070D18org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you warned in this situation of a level crossing with half-barriers?,,,,Wirst du in der abgebildeten Situation vor einem Bahnübergang gewarnt  der mit Halbschranken ausgestattet ist?,,,,Чи в зображеній ситуації Вас попереджають про залізничний переїзд з напівшлагбаумами?,,,,"<img src=""1070D18org.jpg"">"
64,988,Czy w przedstawionej sytuacji jesteś ostrzegany o poprzecznej nierówności jezdni?,,,,Tak,IMG_9274d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you warned in this situation of a transverse unevenness of the roadway?,,,,Wirst du in der abgebildeten Situation vor einer Querunebenheit der Fahrbahn gewarnt?,,,,Чи знак  який Ви бачите  попереджає Вас про наявність у дорожньому полотні вибоїн?,,,,"<img src=""IMG_9274d8org.jpg"">"
65,990,Czy w przedstawionej sytuacji jesteś ostrzegany o nierównościach na drodze  występujących na odcinku 1 2 km za znakiem?,,,,Tak,IMG_9528d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm990.webm,,,,Are you warned in this situation of a 1.2 km-long rough roadway beyond this sign?,,,,Wirst du in der abgebildeten Situation vor Straßenunebenheiten gewarnt  die auf einer Strecke von 1 2 km hinter dem Zeichen auftreten?,,,,Чи попереджає Вас знак  який Ви бачите  про нерівну дорогу на відрізку 1 2 км за знаком?,,,,"<img src=""IMG_9528d8org.jpg"">"
66,991,Czy w przedstawionej sytuacji jesteś ostrzegany o wypukłości jezdni zastosowanej w celu spowolnienia ruchu?,,,,Nie,IMG_9274d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you warned in this situation of a hump on the road intended to slow down the traffic?,,,,Wirst du in der abgebildeten Situation vor einer Bremsschwelle zwecks Verlangsamung des Verkehrs gewarnt?,,,,Чи у наведеній ситуації Вас попереджають про штучну дорожню нерівність («лежачий поліцейський»)  яка застосовується для уповільнення руху?,,,,"<img src=""IMG_9274d8org.jpg"">"
67,992,Czy w przedstawionej sytuacji jesteś ostrzegany o wypukłości na jezdni zastosowanej w celu spowolnienia ruchu?,,,,Tak,IMG_8384org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Are you warned in this situation of hump on the roadway intended to slow down the traffic?,,,,Wirst du in der abgebildeten Situation vor einer Bremsschwelle zwecks Verlangsamung des Verkehrs gewarnt?,,,,Чи у наведеній ситуації Вас попереджають про штучну дорожню нерівність («лежачий поліцейський»)  яка застосовується для уповільнення руху?,,,,"<img src=""IMG_8384org.jpg"">"
68,994,Czy umieszczona pod znakiem ostrzegawczym widocznym na zdjęciu tabliczka  wskazuje jego odległość od miejsca niebezpiecznego?,,,,Tak,IMG_8384org.jpg,A B C D T AM A1 A2 B1 C1 D1,,,,,Does the board placed under this warning sign indicate the sign's distance from a dangerous spot?,,,,Zweigt das unter dem abgebildeten Warnzeichen angebrachte Schild die Entfernung von der gefährlichen Stelle an?,,,,Чи вказує табличка під попереджувальним знаком  зображеним на фотографії  відстань до небезпечної зони?,,,,"<img src=""IMG_8384org.jpg"">"
69,996,Czy w przedstawionej sytuacji jesteś ostrzegany o zwężeniu jezdni  które może powodować utrudnienia ruchu?,,,,Tak,IMG_0816d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm996.webm,,,,Are you warned in this situation of road narrowing which may cause impediments to the traffic?,,,,Wirst du in der abgebildeten Situation vor einer Fahrbahnverengung gewarnt  die den Straßenverkehr behindern kann?,,,,Чи попереджають Вас у наведеній ситуації про звуження проїжджої частини  яке може спричинити утруднення руху?,,,,"<img src=""IMG_0816d8org.jpg"">"
70,997,Czy w przedstawionej sytuacji jesteś ostrzegany o wlocie drogi z prawej strony?,,,,Nie,IMG_6630d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm997.webm,,,,Are you warned in this situation of a junction with the road on the right?,,,,Wirst du in der abgebildeten Situation vor einer von rechts einmündenden Straße gewarnt?,,,,Чи попереджають Вас у наведеній ситуації про прилягання дороги з правого боку?,,,,"<img src=""IMG_6630d8org.jpg"">"
71,1000,Czy w przedstawionej sytuacji należy spodziewać się utrudnień ruchu?,,,,Tak,IMG_7184_1org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm1000.webm,,,,Do you need to be prepared for impediments to traffic in this situation?,,,,Sollst du in der abgebildeten Situation mit Straßenverkehrsbehinderungen rechnen?,,,,Чи в наведеній ситуації варто очікувати утруднень руху?,,,,"<img src=""IMG_7184_1org.jpg"">"
72,1001,Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do wyznaczonego na drodze przejścia dla pieszych?,,,,Tak,843D15org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm1001.webm,,,,Are you warned in this situation of a pedestrian crossing marked on the road?,,,,Wirst du in der abgebildeten Situation vor einem auf der Strasse markierten Fußgängerüberweg gewarnt?,,,,Чи попереджають Вас у зображеній ситуації  що Ви наближаєтесь до визначеного на дорозі пішохідного переходу?,,,,"<img src=""843D15org.jpg"">"
73,1003,Czy w przedstawionej sytuacji jesteś ostrzegany o miejscu na drodze szczególnie często uczęszczanym przez dzieci lub o bliskości takiego miejsca?,,,,Tak,A-17 (2)org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm1003.webm,,,,Are you warned in this situation of a place on the road frequently attended by children or of proximity of such a place?,,,,Wirst du in der abgebildeten Situation vor einer Stelle auf der Straße gewarnt  die besonders oft von Kindern besucht wird bzw. davor  dass sich eine solche Stelle in der Nähe befindet?,,,,Чи попереджають Вас у зображеній ситуації про появу дітей біля проїжджої частини  або про близькість такого місця?,,,,"<img src=""A-17 (2)org.jpg"">"
74,1004,Czy w przedstawionej sytuacji jesteś ostrzegany o możliwości napotkania na drodze zwierząt gospodarskich?,,,,Tak,IMG_1101d8org.jpg,A B C D T AM A1 A2 B1 C1 D1,pjm1004.webm,,,,Are you warned in this situation of a possible encounter with farm animals on the road?,,,,Wirst du in der abgebildeten Situation vor der Möglichkeit gewarnt  den Haustieren auf der Straße zu begegnen?,,,,Чи попереджають Вас у зображеній ситуації про ділянку дороги  на якій можлива поява худоби?,,,,"<img src=""IMG_1101d8org.jpg"">"
